SETTD,DAILYT
2016-04-15,5061089.931
2016-04-16,4510873.863
2016-04-17,4374875.271000002
2016-04-18,5093342.522
2016-04-19,5097929.652
2016-04-20,5143836.389
2016-04-21,5198227.433
2016-04-22,5129072.17
2016-04-23,4525207.392
2016-04-24,4246038.772
2016-04-25,4366135.732
2016-04-26,5089715.155
2016-04-27,5099038.031
2016-04-28,5133343.4010000015
2016-04-29,5172464.435
2016-04-30,4456982.498
2016-05-01,4603469.018
2016-05-02,5498491.833
2016-05-03,5529466.119
2016-05-04,5568562.757
2016-05-05,5340680.728
2016-05-06,5109841.226
2016-05-07,4492499.048
2016-05-08,4595675.674
2016-05-09,5350854.052
2016-05-10,5537593.972999998
2016-05-11,5778483.795
2016-05-12,5389403.052999998
2016-05-13,5176170.532
2016-05-14,4526452.124
2016-05-15,4522683.748
2016-05-16,5477419.323
2016-05-17,5554347.71
2016-05-18,5505642.366
2016-05-19,5597601.017999998
2016-05-20,5517871.522000001
2016-05-21,5085004.247
2016-05-22,4774256.97
2016-05-23,5642511.615
2016-05-24,5963571.037000001
2016-05-25,6505543.606000002
2016-05-26,6882148.821
2016-05-27,6673791.365
2016-05-28,6411965.427
2016-05-29,6150572.057
2016-05-30,6864328.363
2016-05-31,7125177.142999998
2016-06-01,7196954.645
2016-06-02,7230236.787
2016-06-03,6821868.609
2016-06-04,6240628.518999998
2016-06-05,5982581.824
2016-06-06,6788860.143999998
2016-06-07,6840199.167
2016-06-08,6964414.156
2016-06-09,6542867.244
2016-06-10,6578496.293
2016-06-11,6229113.033
2016-06-12,6097013.619
2016-06-13,6620044.747
2016-06-14,7322366.905
2016-06-15,7027080.714
2016-06-16,7499408.772000001
2016-06-17,6804242.3829999985
2016-06-18,6315020.113
2016-06-19,6243456.321
2016-06-20,7103166.886
2016-06-21,7040556.476
2016-06-22,6936799.306
2016-06-23,7168870.219
2016-06-24,7855323.549
2016-06-25,7040647.135
2016-06-26,7189291.301
2016-06-27,8246220.987000002
2016-06-28,7580736.102999999
2016-06-29,7124696.597999998
2016-06-30,7781862.815
2016-07-01,7331254.292
2016-07-02,6084406.745
2016-07-03,5807817.465
2016-07-04,7193251.658
2016-07-05,7492290.352000001
2016-07-06,7288589.062000001
2016-07-07,7167002.376
2016-07-08,6797298.001
2016-07-09,6218243.193
2016-07-10,6719910.336
2016-07-11,7095314.356000002
2016-07-12,7466515.719
2016-07-13,8122722.165
2016-07-14,7790309.89
2016-07-15,7252000.817000002
2016-07-16,6150161.359
2016-07-17,6285391.781
2016-07-18,6540965.701
2016-07-19,6459020.359
2016-07-20,6425012.552999998
2016-07-21,6614643.786
2016-07-22,6391883.55
2016-07-23,6604536.014
2016-07-24,6848538.585
2016-07-25,7744577.277000002
2016-07-26,8144389.255
2016-07-27,7797212.954
2016-07-28,7524965.846
2016-07-29,7200444.765
2016-07-30,6480385.214
2016-07-31,5873072.392999998
2016-08-01,7194528.682
2016-08-02,7163643.2760000015
2016-08-03,7289760.45
2016-08-04,7250054.04
2016-08-05,7408618.912
2016-08-06,6755199.299
2016-08-07,6133335.514
2016-08-08,7503825.709
2016-08-09,6888846.295
2016-08-10,6812075.267999998
2016-08-11,7088731.954
2016-08-12,7063897.981000002
2016-08-13,6249810.107999999
2016-08-14,5708723.755
2016-08-15,6146375.511
2016-08-16,6095350.937000001
2016-08-17,6183295.789
2016-08-18,5854574.046
2016-08-19,6322276.432
2016-08-20,6160666.505
2016-08-21,6054345.15
2016-08-22,6973687.885
2016-08-23,6677603.228999998
2016-08-24,7077734.164
2016-08-25,7015589.603999998
2016-08-26,7040588.945
2016-08-27,6014205.36
2016-08-28,5584449.55
2016-08-29,6031074.924
2016-08-30,6348054.856000002
2016-08-31,5773831.811000002
2016-09-01,5957877.291
2016-09-02,6067734.913
2016-09-03,5433453.588
2016-09-04,5280344.305
2016-09-05,5726550.962
2016-09-06,5532542.365
2016-09-07,5325796.508
2016-09-08,5158474.609
2016-09-09,5369716.6329999985
2016-09-10,5238885.211
2016-09-11,5234440.666
2016-09-12,6382632.865
2016-09-13,6826756.447000002
2016-09-14,6404837.385
2016-09-15,6801459.485
2016-09-16,6278555.313999998
2016-09-17,4977639.321
2016-09-18,5537244.106000002
2016-09-19,6045976.335
2016-09-20,5687424.699
2016-09-21,5996360.06
2016-09-22,6326647.929
2016-09-23,5757050.511
2016-09-24,4816128.522
2016-09-25,4973892.584
2016-09-26,5950857.324
2016-09-27,6182789.092
2016-09-28,5777845.534
2016-09-29,5820159.772000001
2016-09-30,5104329.62
2016-10-01,4946652.916
2016-10-02,4547380.947
2016-10-03,5620299.958
2016-10-04,6295944.385
2016-10-05,6640093.909
2016-10-06,5333827.679
2016-10-07,5204543.094
2016-10-08,4573736.725
2016-10-09,4624920.246
2016-10-10,5583480.978999998
2016-10-11,5995127.165
2016-10-12,6152002.722
2016-10-13,5879260.204
2016-10-14,5444076.068
2016-10-15,4459117.251
2016-10-16,4511193.255
2016-10-17,5388137.802
2016-10-18,5785220.536
2016-10-19,5763331.687000001
2016-10-20,5329413.344
2016-10-21,5872437.612000002
2016-10-22,5936537.416
2016-10-23,5600154.547
2016-10-24,5802543.664
2016-10-25,5251470.681
2016-10-26,5339517.869
2016-10-27,5352147.56
2016-10-28,5280002.152
2016-10-29,4341874.733
2016-10-30,4221146.6669999985
2016-10-31,5153763.538
2016-11-01,4673267.855
2016-11-02,5526728.017999998
2016-11-03,5098488.355
2016-11-04,5010751.371
2016-11-05,4683331.71
2016-11-06,4329802.721
2016-11-07,4986808.598
2016-11-08,4920291.524
2016-11-09,5078471.408
2016-11-10,5058944.723
2016-11-11,4919277.371
2016-11-12,4380162.613
2016-11-13,4515985.702
2016-11-14,5420872.275
2016-11-15,5256405.656
2016-11-16,5054358.607
2016-11-17,5210356.033
2016-11-18,4890363.812
2016-11-19,4175139.836
2016-11-20,4559655.362
2016-11-21,6414141.409
2016-11-22,5162156.34
2016-11-23,5093762.438999998
2016-11-24,5166151.957
2016-11-25,5115095.872
2016-11-26,4475518.55
2016-11-27,4477823.912
2016-11-28,4937907.893
2016-11-29,4870992.492
2016-11-30,5011088.244
2016-12-01,4905296.142
2016-12-02,4820757.649
2016-12-03,4194790.311000002
2016-12-04,4491554.103
2016-12-05,4958966.912
2016-12-06,4861150.18
2016-12-07,5020225.374
2016-12-08,5028676.117
2016-12-09,4889045.306
2016-12-10,4248802.842
2016-12-11,4088418.269
2016-12-12,5450510.216
2016-12-13,6057398.797
2016-12-14,5006449.518
2016-12-15,4780851.186000002
2016-12-16,4917658.997
2016-12-17,4137733.161
2016-12-18,4008862.567
2016-12-19,4983814.024
2016-12-20,4892814.4739999985
2016-12-21,4749529.244
2016-12-22,4696613.351
2016-12-23,4933330.927
2016-12-24,5162082.718
2016-12-25,5536177.356000002
2016-12-26,4661183.857
2016-12-27,4286061.665
2016-12-28,6110996.785
2016-12-29,6599045.679
2016-12-30,5147806.339
2016-12-31,4177308.855
2017-01-01,3689544.824
2017-01-02,3773205.473
2017-01-03,4136459.646
2017-01-04,4880433.947
2017-01-05,5778544.259
2017-01-06,6429220.477000001
